Attrition_Flag,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Avg_Open_To_Buy,Avg_Utilization_Ratio,Attrition E,Gender E
Existing Customer,45,M,3,36,3,1,1,10012,0.057,0,0
Existing Customer,50,F,2,40,5,3,3,1194,0.519,0,1
Existing Customer,57,M,2,47,4,4,1,3130,0.386,0,0
Existing Customer,63,M,0,49,5,4,3,5179,0.123,0,0
Existing Customer,35,F,3,30,3,3,2,9293,0,0,1
Existing Customer,35,M,3,25,5,3,3,3789,0.277,0,0
Existing Customer,53,M,3,40,6,2,5,3441,0.177,0,0
Existing Customer,33,F,4,24,6,2,2,9857,0,0,1
Existing Customer,38,M,2,33,3,1,4,18891,0.061,0,0
Existing Customer,31,M,0,22,3,2,3,6012,0,0,0
Existing Customer,37,M,2,27,4,2,4,6369,0,0,0
Existing Customer,36,M,1,30,4,2,5,10853,0.165,0,0
Attrited Customer,39,F,3,36,3,2,3,983,0.376,1,1
Existing Customer,58,F,0,39,5,3,3,5472,0.181,0,1
Existing Customer,39,F,1,34,6,3,5,4656,0.279,0,1
Existing Customer,61,M,0,48,3,2,4,19357,0.07,0,0
Existing Customer,34,M,4,26,3,2,4,4300,0.224,0,0
Existing Customer,55,M,3,36,4,3,4,398,0.858,0,0
Existing Customer,50,M,2,40,4,3,5,39,0.984,0,0
Existing Customer,33,M,3,24,6,3,3,3729,0.277,0,0
Existing Customer,48,F,1,36,6,4,4,12275,0.137,0,1
Existing Customer,63,M,0,51,3,3,4,9236,0.1,0,0
Attrited Customer,54,M,3,44,2,1,5,3032,0,1,0
Attrited Customer,41,M,4,36,2,3,5,1126.3,0.217,1,0
Existing Customer,51,M,3,45,5,2,4,32096,0,0,0
Existing Customer,54,F,2,46,5,3,2,2220,0.263,0,1
Existing Customer,47,M,4,36,3,3,3,3872,0.328,0,0
Existing Customer,52,F,3,45,5,1,3,854,0.666,0,1
Existing Customer,34,M,5,28,3,3,2,32785,0.05,0,0
Existing Customer,64,M,0,54,4,3,2,779,0.636,0,0
Existing Customer,62,F,1,43,3,1,1,4760,0,0,1
Existing Customer,38,M,1,27,6,2,5,25007,0.052,0,0
Existing Customer,52,F,2,43,5,2,2,7549,0.08,0,1
Existing Customer,35,F,2,24,5,2,3,1128,0.575,0,1
Existing Customer,35,M,2,27,6,2,2,12607,0.077,0,0
Existing Customer,54,M,1,48,6,1,5,10234,0.159,0,0
Existing Customer,35,F,3,17,6,1,1,1133,0.617,0,1
Existing Customer,35,M,0,18,6,2,3,953,0.633,0,0
Existing Customer,36,F,3,36,5,2,2,9840,0.069,0,1
Existing Customer,33,F,3,36,6,1,2,5973,0.274,0,1
Existing Customer,53,M,1,44,5,2,1,25685,0.026,0,0
Existing Customer,37,F,1,29,5,3,0,2738,0.414,0,1
Existing Customer,35,M,3,28,4,3,2,14869,0,0,0
Existing Customer,59,M,1,36,6,2,2,335,0.854,0,0
Existing Customer,47,M,1,28,6,1,4,995,0.644,0,0
Existing Customer,48,F,3,30,5,2,1,542,0.796,0,1
Existing Customer,58,M,2,46,6,1,3,7343,0.197,0,0
Existing Customer,55,F,2,36,5,2,3,1153,0.561,0,1
Existing Customer,37,M,2,17,6,3,3,3176,0,0,0
Existing Customer,57,M,2,42,6,1,0,19358,0.115,0,0
Existing Customer,60,M,2,41,5,2,4,1343,0.553,0,0
Existing Customer,50,M,1,40,4,2,4,15659,0.1,0,0
Existing Customer,56,M,2,51,5,6,3,346,0.879,0,0
Existing Customer,48,M,3,37,5,1,2,32087,0.07,0,0
Existing Customer,40,M,4,30,4,1,1,12653,0.091,0,0
Attrited Customer,48,M,3,39,4,4,3,16155,0.135,1,0
Existing Customer,50,F,1,36,6,2,2,3705,0.119,0,1
Existing Customer,61,F,1,36,3,2,4,4370,0.363,0,1
Existing Customer,36,M,2,30,6,3,3,14570,0.092,0,0
Existing Customer,46,M,5,32,5,2,2,33492,0.03,0,0
Existing Customer,28,M,0,36,3,3,3,15231,0.092,0,0
Existing Customer,49,M,5,30,3,2,1,19087,0.087,0,0
Existing Customer,44,F,4,38,6,3,3,5364,0.319,0,1
Existing Customer,57,M,5,50,4,2,3,13427,0,0,0
Existing Customer,37,M,2,36,3,3,2,604,0.735,0,0
Existing Customer,57,M,2,52,6,2,4,10974,0,0,0
Attrited Customer,33,M,1,36,1,3,4,8757,0.019,1,0
Existing Customer,46,M,2,40,4,1,3,5265,0,0,0
Attrited Customer,45,F,2,36,6,4,3,14639,0.147,1,1
Existing Customer,53,M,1,36,4,2,3,12209,0.093,0,0
Existing Customer,52,M,0,46,3,2,4,558,0.796,0,0
Existing Customer,34,M,1,29,3,2,3,1604,0.588,0,0
Existing Customer,55,M,3,51,6,2,3,17198,0,0,0
Existing Customer,53,M,4,41,6,3,4,1688,0.504,0,0
Existing Customer,37,M,1,19,6,1,2,17708,0.066,0,0
Existing Customer,58,F,3,52,4,1,1,566,0.611,0,1
Existing Customer,33,M,3,20,6,3,2,26311,0.043,0,0
Existing Customer,39,M,3,36,3,3,2,30733,0.068,0,0
Existing Customer,37,F,2,28,5,2,1,6778,0.085,0,1
Existing Customer,32,M,0,36,4,3,3,7200,0,0,0
Existing Customer,26,F,1,13,6,2,3,11051,0.08,0,1
Existing Customer,60,F,0,50,4,2,2,1545,0.509,0,1
Existing Customer,37,M,1,18,6,2,5,3168,0.38,0,0
Existing Customer,43,F,5,35,3,6,4,3224,0.407,0,1
Existing Customer,56,M,1,40,6,1,1,15257,0.126,0,0
Existing Customer,52,M,3,39,3,3,2,16843,0.082,0,0
Existing Customer,34,M,2,17,3,1,2,2704,0.462,0,0
Existing Customer,47,M,1,38,3,2,3,33714,0.023,0,0
Existing Customer,26,M,0,21,4,3,2,50,0.968,0,0
Existing Customer,54,M,1,42,5,3,3,1332,0.59,0,0
Existing Customer,35,F,3,23,3,2,2,1607,0.438,0,1
Existing Customer,52,M,1,36,6,1,0,32669,0.054,0,0
Existing Customer,41,M,3,28,4,1,3,15080,0.083,0,0
Existing Customer,36,F,0,32,3,2,3,2032,0.449,0,1
Existing Customer,53,F,1,36,5,1,3,2323,0.52,0,1
Existing Customer,42,M,3,36,6,3,2,15108,0,0,0
Existing Customer,54,M,1,37,6,3,2,156,0.918,0,0
Existing Customer,53,M,3,44,5,2,2,17827,0.065,0,0
Existing Customer,36,M,2,26,4,2,4,14291,0.106,0,0
Existing Customer,42,M,3,32,6,2,2,1438.3,0,0,0
Existing Customer,27,F,2,14,4,3,3,419,0.836,0,1
Existing Customer,58,M,4,36,6,2,4,3617,0.394,0,0
Existing Customer,59,M,1,53,5,1,3,624,0.714,0,0
Existing Customer,63,F,2,52,5,2,3,588,0.781,0,1
Existing Customer,57,M,2,51,6,2,4,30622,0,0,0
Existing Customer,56,F,0,48,4,1,2,2238,0.468,0,1
Existing Customer,42,F,3,37,6,1,3,6453,0,0,1
Existing Customer,29,F,1,23,3,1,2,2391,0.279,0,1
Existing Customer,44,M,2,39,5,3,3,20569,0.068,0,0
Existing Customer,33,M,1,14,3,2,2,4996,0.259,0,0
Existing Customer,35,M,2,36,5,2,2,2945,0.332,0,0
Existing Customer,33,F,3,36,5,3,3,3500,0.277,0,1
Existing Customer,46,M,4,40,5,1,4,34516,0,0,0
Existing Customer,27,M,0,14,4,1,4,1693,0.557,0,0
Existing Customer,42,M,3,36,3,2,1,19487,0.101,0,0
Existing Customer,53,M,2,38,6,3,2,6700,0.155,0,0
Existing Customer,50,M,3,42,3,1,3,33047,0.028,0,0
Existing Customer,48,F,5,40,3,1,1,4365,0,0,1
Existing Customer,57,M,2,47,6,3,4,2248,0,0,0
Existing Customer,34,F,2,27,4,1,1,725,0.619,0,1
Existing Customer,55,M,2,45,3,1,4,33083,0.042,0,0
Existing Customer,58,M,2,54,6,2,4,29868,0.057,0,0
Existing Customer,55,F,3,35,3,2,3,705,0.623,0,1
Existing Customer,48,F,2,42,3,2,2,2055,0,0,1
Existing Customer,45,M,2,37,5,1,2,9663,0.121,0,0
Existing Customer,59,M,0,46,6,1,2,1422,0.639,0,0
Existing Customer,53,F,2,40,5,1,4,132,0.938,0,1
Existing Customer,47,M,4,32,3,3,2,32670,0.039,0,0
Existing Customer,43,F,3,36,4,2,1,5465,0.216,0,1
Existing Customer,33,F,1,15,6,2,0,413,0.763,0,1
Existing Customer,49,F,2,36,3,3,2,24904,0,0,1
Attrited Customer,54,F,1,45,3,5,5,1438.3,0,1,1
Existing Customer,65,M,0,56,6,3,1,763,0.709,0,0
Existing Customer,49,F,5,35,5,2,1,9823,0.116,0,1
Existing Customer,47,M,5,39,6,2,3,13241,0,0,0
Existing Customer,51,M,4,42,6,1,2,11921,0.174,0,0
Existing Customer,36,M,3,31,6,1,1,3785,0.276,0,0
Existing Customer,36,M,2,36,3,1,4,4032,0.274,0,0
Existing Customer,46,M,1,36,4,3,2,548.3,0.619,0,0
Existing Customer,62,F,0,55,3,1,0,782,0.621,0,1
Existing Customer,30,F,1,24,4,3,0,933,0.73,0,1
Existing Customer,46,M,4,36,4,1,3,33136,0.04,0,0
Existing Customer,41,M,4,36,6,2,2,28002,0.068,0,0
Existing Customer,50,M,1,45,5,3,3,988,0.541,0,0
Existing Customer,53,M,2,44,4,1,3,4664,0.351,0,0
Existing Customer,55,M,2,44,3,3,3,26445,0.047,0,0
Existing Customer,49,F,4,43,4,3,2,2836,0.415,0,1
Existing Customer,56,M,1,50,6,3,3,4446,0.34,0,0
Existing Customer,63,M,1,53,4,1,2,4233,0.309,0,0
Existing Customer,41,M,4,36,4,3,2,21378,0.076,0,0
Existing Customer,34,M,2,29,3,2,2,1786,0.48,0,0
Existing Customer,35,M,0,36,5,2,1,1666,0.475,0,0
Existing Customer,44,M,4,34,5,3,3,7284,0.179,0,0
Existing Customer,38,F,3,34,5,1,0,1589,0.533,0,1
Existing Customer,52,M,1,43,6,1,1,612,0.772,0,0
Existing Customer,54,M,3,36,3,3,2,278,0.821,0,0
Existing Customer,58,F,2,36,3,3,3,6162,0.164,0,1
Existing Customer,26,M,0,13,6,1,2,4924,0.138,0,0
Existing Customer,27,F,1,22,4,1,3,1330,0.551,0,1
Existing Customer,33,M,1,26,3,2,2,8619,0.122,0,0
Existing Customer,32,M,0,14,4,3,3,8186,0,0,0
Existing Customer,58,F,1,49,3,3,2,2561,0.334,0,1
Existing Customer,45,F,4,30,5,2,2,11166,0.15,0,1
Existing Customer,48,F,3,28,4,2,1,2191,0.256,0,1
Existing Customer,38,M,2,36,3,3,4,32562,0.057,0,0
Existing Customer,54,M,2,38,6,3,4,3654,0.354,0,0
Existing Customer,40,F,1,30,5,1,1,5706,0.245,0,1
Existing Customer,35,F,4,26,5,1,4,1178,0.528,0,1
Existing Customer,31,M,1,36,4,1,0,23770,0.057,0,0
Existing Customer,40,F,4,24,5,3,2,788,0.698,0,1
Existing Customer,52,M,0,43,4,3,3,6191,0.239,0,0
Existing Customer,57,F,1,36,6,2,2,1844,0.405,0,1
Existing Customer,48,M,2,29,6,2,3,22592,0.076,0,0
Existing Customer,49,M,3,39,5,3,2,1019,0.568,0,0
Existing Customer,40,M,4,32,6,4,2,785,0.678,0,0
Existing Customer,45,M,2,41,5,2,2,6367,0.254,0,0
Existing Customer,41,M,3,37,5,3,3,15366,0.094,0,0
Existing Customer,36,M,2,17,4,3,1,871,0.7,0,0
Existing Customer,37,F,1,36,6,2,4,6827,0,0,1
Existing Customer,44,F,3,34,5,2,5,2563,0.432,0,1
Existing Customer,52,M,2,47,3,3,2,26628,0.026,0,0
Existing Customer,42,F,3,36,4,3,1,304,0.819,0,1
Existing Customer,62,F,1,50,6,6,4,825,0.706,0,1
Attrited Customer,49,M,3,45,3,0,4,23870,0,1,0
Existing Customer,30,F,0,17,3,2,1,3778,0.224,0,1
Existing Customer,50,M,3,45,5,3,5,19417,0.05,0,0
Existing Customer,32,M,2,26,6,1,4,901,0.598,0,0
Existing Customer,32,F,1,28,6,3,3,1401,0.423,0,1
Existing Customer,49,M,3,44,3,1,5,15027,0,0,0
Existing Customer,37,M,2,32,3,3,5,30169,0.059,0,0
Existing Customer,42,F,3,31,3,2,2,33597,0.027,0,1
Existing Customer,36,M,2,29,3,3,5,3807,0.288,0,0
Attrited Customer,52,F,4,36,1,4,5,2143,0,1,1
Existing Customer,48,M,3,40,5,2,5,32199,0.067,0,0
Existing Customer,29,M,1,19,3,1,2,21517,0.085,0,0
Existing Customer,33,F,3,28,5,2,3,783,0.58,0,1
Existing Customer,36,M,2,24,5,2,5,22192,0.036,0,0
Existing Customer,36,F,4,36,4,1,3,2699,0.369,0,1
Existing Customer,56,F,2,41,5,3,2,1325,0.522,0,1
Existing Customer,28,M,1,36,5,3,4,330,0.854,0,0
Existing Customer,31,F,2,19,6,2,0,892,0.687,0,1
Existing Customer,44,F,3,33,5,3,5,558,0.819,0,1
Existing Customer,51,F,3,31,5,1,5,13009,0.152,0,1
Existing Customer,55,M,3,35,4,1,4,3065,0,0,0
Existing Customer,34,F,2,28,3,3,2,1438.3,0,0,1
Existing Customer,61,F,0,56,4,3,5,6305,0.114,0,1
Existing Customer,37,M,2,36,4,2,2,8902,0.22,0,0
Existing Customer,46,M,3,37,6,2,5,2403,0,0,0
Existing Customer,47,F,3,32,4,3,2,1870,0.337,0,1
Existing Customer,54,M,1,43,4,3,3,189,0.93,0,0
Existing Customer,50,F,3,43,6,1,4,1041,0.653,0,1
Existing Customer,36,F,4,28,5,1,2,619,0.722,0,1
Existing Customer,37,M,5,31,5,3,4,1504,0.551,0,0
Existing Customer,47,M,4,36,5,1,1,3712,0.334,0,0
Existing Customer,54,M,3,41,3,3,2,8879,0.15,0,0
Existing Customer,64,F,0,56,6,2,2,777,0.643,0,1
Existing Customer,48,M,3,38,3,3,3,31501,0,0,0
Existing Customer,35,M,2,30,6,3,3,20438,0.058,0,0
Existing Customer,49,M,2,36,3,1,1,32081,0.071,0,0
Existing Customer,42,M,5,35,6,3,2,12397,0.092,0,0
Existing Customer,49,M,0,36,5,3,4,13639,0.156,0,0
Existing Customer,53,F,2,46,6,2,4,398,0.835,0,1
Existing Customer,56,M,2,45,3,2,3,4331,0.268,0,0
Existing Customer,41,M,3,28,6,3,0,3378,0.422,0,0
Existing Customer,37,M,3,36,3,1,5,6367,0.244,0,0
Existing Customer,30,M,0,21,5,4,3,1231,0.506,0,0
Existing Customer,45,M,3,35,3,3,2,19037,0.078,0,0
Existing Customer,54,M,1,37,5,1,1,7265,0.231,0,0
Existing Customer,46,M,2,40,4,2,4,6435,0.19,0,0
Existing Customer,36,F,4,36,3,2,1,590,0.786,0,1
Existing Customer,48,M,2,41,5,2,1,19064,0.054,0,0
Existing Customer,59,F,0,36,3,1,2,1438.3,0,0,1
Existing Customer,60,M,1,51,6,3,4,24049,0.095,0,0
Existing Customer,44,M,5,34,3,3,5,11420,0.153,0,0
Existing Customer,65,M,0,42,5,3,2,7738,0.203,0,0
Existing Customer,46,F,3,41,5,2,4,7457,0,0,1
Existing Customer,48,M,4,40,6,2,5,33709,0.023,0,0
Existing Customer,53,M,3,47,5,1,3,16650,0.127,0,0
Existing Customer,53,F,3,36,6,2,2,889,0.637,0,1
Existing Customer,41,M,2,36,4,2,4,28830,0,0,0
Existing Customer,37,F,4,22,5,1,3,925,0.639,0,1
Existing Customer,29,F,0,13,6,3,5,3632,0.307,0,1
Existing Customer,49,F,2,44,4,3,0,1435,0.578,0,1
Existing Customer,47,M,3,35,4,3,2,1842,0,0,0
Existing Customer,53,F,1,40,4,2,4,445,0.813,0,1
Existing Customer,33,M,2,21,5,3,3,20791,0,0,0
Existing Customer,34,M,1,27,5,2,4,18319,0.079,0,0
Existing Customer,28,F,0,15,3,3,3,30792,0.038,0,1
Existing Customer,36,F,3,28,3,2,3,2732,0.262,0,1
Existing Customer,30,F,2,18,3,1,4,2296,0.453,0,1
Existing Customer,34,M,3,21,4,1,3,2698,0.38,0,0
Attrited Customer,38,F,4,36,4,4,4,2396,0.512,1,1
Existing Customer,39,F,4,22,3,3,1,4346,0.203,0,1
Existing Customer,32,F,0,26,3,3,2,791,0.636,0,1
Existing Customer,36,M,2,26,4,3,2,328,0.885,0,0
Existing Customer,37,F,3,28,3,1,4,17046,0.082,0,1
Existing Customer,45,M,4,33,5,2,4,25162,0.029,0,0
Existing Customer,38,F,3,33,5,3,2,188,0.915,0,1
Existing Customer,31,M,0,24,3,1,4,10318,0.144,0,0
Existing Customer,65,M,0,36,3,3,2,1099,0.478,0,0
Existing Customer,63,F,0,36,6,3,4,756,0.641,0,1
Existing Customer,65,M,1,56,3,2,5,1022,0.711,0,0
Existing Customer,43,F,3,36,3,3,4,26400,0.029,0,1
Existing Customer,51,M,1,36,6,2,2,16925,0.055,0,0
Existing Customer,37,M,3,31,3,1,3,3741,0.243,0,0
Existing Customer,55,F,1,43,5,4,2,1772,0.439,0,1
Existing Customer,27,M,0,36,4,3,3,2464,0,0,0
Existing Customer,34,F,0,36,5,1,3,974,0.696,0,1
Existing Customer,32,F,1,36,3,5,4,818,0.554,0,1
Existing Customer,49,F,5,39,3,2,2,1993,0,0,1
Existing Customer,39,M,2,27,3,3,2,32887,0.047,0,0
Existing Customer,27,M,0,22,5,2,2,6257,0.122,0,0
Existing Customer,30,M,1,22,5,3,4,11629,0.073,0,0
Existing Customer,39,M,4,25,6,2,3,8208,0,0,0
Existing Customer,42,M,2,32,4,2,2,25149,0.041,0,0
Existing Customer,55,M,4,36,4,2,3,32979,0.035,0,0
Existing Customer,57,F,2,49,5,1,2,1657,0.509,0,1
Existing Customer,53,M,2,43,6,3,2,3547,0.397,0,0
Existing Customer,51,M,0,40,4,3,2,7158,0,0,0
Existing Customer,47,M,3,41,6,1,4,4086,0.3,0,0
Existing Customer,26,F,0,36,6,3,4,4152,0,0,1
Existing Customer,37,M,2,24,6,2,3,9941,0.15,0,0
Existing Customer,45,F,2,35,6,3,2,2943,0.347,0,1
Existing Customer,55,M,2,48,6,3,2,6474,0.156,0,0
Existing Customer,37,M,4,28,3,3,4,34516,0,0,0
Existing Customer,36,F,3,31,3,2,3,778,0.735,0,1
Existing Customer,36,F,1,36,5,3,4,3685,0.299,0,1
Existing Customer,39,M,2,28,6,3,3,9374,0.093,0,0
Existing Customer,47,M,4,36,3,3,3,17557,0,0,0
Existing Customer,56,F,2,48,6,3,2,2776,0.364,0,1
Existing Customer,56,F,4,46,6,2,2,5761,0.283,0,1
Existing Customer,38,M,2,25,4,1,3,8006,0.084,0,0
Existing Customer,49,M,3,36,6,2,3,6501,0.236,0,0
Existing Customer,36,F,4,26,4,3,2,625,0.688,0,1
Existing Customer,51,F,0,35,5,3,4,1317,0.58,0,1
Existing Customer,26,F,0,13,2,3,3,940,0.532,0,1
Existing Customer,34,M,2,23,6,2,3,5791,0.235,0,0
Attrited Customer,56,M,2,40,2,6,4,1730,0.273,1,0
Existing Customer,43,M,2,31,6,2,4,32118,0.069,0,0
Existing Customer,47,F,3,42,6,2,2,15232,0.072,0,1
Existing Customer,42,F,4,19,3,2,0,1438.3,0,0,1
Existing Customer,38,M,2,30,2,3,2,2314,0.38,0,0
Existing Customer,55,M,2,37,3,3,1,20328,0.081,0,0
Existing Customer,28,F,0,36,3,2,3,5685,0,0,1
Existing Customer,62,M,0,50,3,2,2,5882,0.2,0,0
Attrited Customer,52,M,2,34,3,2,3,11188,0,1,0
Existing Customer,44,M,3,37,3,1,5,1138,0.688,0,0
Existing Customer,29,F,0,36,5,2,3,3853,0.241,0,1
Existing Customer,48,M,4,38,3,2,2,31176,0.045,0,0
Existing Customer,43,M,3,36,6,1,2,27708,0.032,0,0
Existing Customer,49,F,2,36,3,1,3,1941,0.431,0,1
Existing Customer,43,M,3,23,5,6,1,12315,0,0,0
Existing Customer,41,F,2,36,5,3,3,778,0.711,0,1
Existing Customer,43,M,3,31,6,2,4,12165,0,0,0
Existing Customer,51,F,3,46,4,1,3,803,0.552,0,1
Existing Customer,37,M,1,30,6,3,2,18119,0.061,0,0
Existing Customer,37,M,2,24,3,3,4,6022,0.258,0,0
Existing Customer,49,M,5,36,6,2,2,2292,0,0,0
Existing Customer,36,M,3,25,6,3,3,20089,0.063,0,0
Existing Customer,50,F,2,43,5,3,4,3424,0,0,1
Existing Customer,64,M,0,51,3,3,4,1586,0.431,0,0
Existing Customer,36,F,3,30,3,2,3,7214,0.17,0,1
Existing Customer,45,M,3,35,6,2,3,30472,0.061,0,0
Existing Customer,41,M,2,36,6,3,3,6993,0.234,0,0
Existing Customer,47,M,3,37,3,3,2,3648,0.287,0,0
Existing Customer,39,M,2,31,5,2,1,16457,0.133,0,0
Existing Customer,51,M,4,45,6,2,3,9584,0.208,0,0
Existing Customer,55,F,1,46,5,3,4,4417,0.179,0,1
Existing Customer,57,M,3,49,5,3,3,30542,0.065,0,0
Existing Customer,36,M,4,31,4,3,4,33025,0.043,0,0
Existing Customer,35,M,2,36,4,3,4,13423,0.117,0,0
Existing Customer,38,F,2,23,5,3,3,1017,0.542,0,1
Existing Customer,39,F,2,34,5,2,4,5858,0,0,1
Existing Customer,65,F,0,56,4,2,1,823,0.694,0,1
Existing Customer,51,F,2,45,6,3,2,5128,0.284,0,1
Existing Customer,50,F,3,38,4,3,4,1438.3,0,0,1
Existing Customer,38,M,2,32,5,1,1,25401,0.059,0,0
Existing Customer,36,F,1,26,3,3,2,2517,0,0,1
Attrited Customer,41,M,3,28,3,3,4,11091,0,1,0
Existing Customer,40,F,4,27,3,1,2,8661,0.194,0,1
Existing Customer,40,F,2,36,3,2,4,32830,0.049,0,1
Existing Customer,26,M,1,20,6,3,2,842,0.675,0,0
Existing Customer,46,F,4,35,5,2,3,1249,0.541,0,1
Existing Customer,49,F,1,36,3,3,0,8228,0,0,1
Existing Customer,38,M,2,33,6,3,2,9996,0.151,0,0
Existing Customer,49,M,4,39,5,1,1,33973,0.016,0,0
Existing Customer,38,M,3,24,5,1,3,14821,0,0,0
Existing Customer,36,M,1,23,4,3,1,510.3,0.645,0,0
Existing Customer,34,F,2,21,6,3,4,4861,0.207,0,1
Existing Customer,52,M,5,47,3,1,1,1382,0.325,0,0
Existing Customer,40,M,3,34,3,3,4,21160,0.055,0,0
Existing Customer,36,M,3,31,3,3,5,11273,0.126,0,0
Existing Customer,53,M,3,47,5,1,1,1877,0.44,0,0
Existing Customer,40,F,2,36,3,1,1,2717,0.467,0,1
Existing Customer,54,M,1,44,5,1,1,1438.3,0,0,0
Existing Customer,34,M,4,20,5,1,2,213,0.902,0,0
Existing Customer,62,F,1,54,4,2,2,608,0.684,0,1
Existing Customer,39,F,1,36,6,1,1,22125,0,0,1
Existing Customer,50,M,3,42,4,5,3,32417,0.061,0,0
Existing Customer,36,M,1,28,6,3,2,4144,0.212,0,0
Existing Customer,56,F,1,48,6,2,2,1438.3,0,0,1
Attrited Customer,44,F,4,30,3,4,4,4333,0,1,1
Existing Customer,45,M,4,32,3,2,1,6637,0,0,0
Existing Customer,36,M,2,28,4,3,0,712,0.776,0,0
Existing Customer,44,F,2,36,4,2,5,2907,0.339,0,1
Attrited Customer,52,M,2,48,6,2,4,34516,0,1,0
Existing Customer,50,F,3,37,3,2,4,1438.3,0,0,1
Existing Customer,53,F,2,43,3,3,4,5373,0.216,0,1
Existing Customer,36,F,0,24,4,3,2,340,0.868,0,1
Existing Customer,27,F,1,15,5,3,2,1276,0.411,0,1
Existing Customer,31,F,1,27,4,6,3,2167,0.406,0,1
Existing Customer,36,M,3,36,3,1,1,9898,0.153,0,0
Existing Customer,41,M,4,28,6,1,4,4475,0,0,0
Existing Customer,28,M,1,18,6,3,2,14888,0.103,0,0
Existing Customer,59,M,1,53,6,2,5,3561,0.346,0,0
Existing Customer,43,M,3,31,5,1,4,27931,0.027,0,0
Existing Customer,41,M,3,30,3,1,1,1212,0.58,0,0
Existing Customer,46,M,2,34,4,2,0,8171,0.135,0,0
Existing Customer,51,M,3,43,3,4,5,12914,0.073,0,0
Existing Customer,44,M,1,33,5,2,2,5322,0.132,0,0
Existing Customer,40,M,3,36,6,2,2,15008,0,0,0
Existing Customer,32,M,1,18,4,1,4,2997,0.346,0,0
Attrited Customer,48,M,4,37,1,3,4,3077,0.416,1,0
Existing Customer,58,M,2,51,4,2,2,13513,0.098,0,0
Existing Customer,37,F,3,25,3,2,4,2282,0,0,1
Attrited Customer,51,M,3,36,3,3,3,5130,0,1,0
Existing Customer,43,F,3,31,4,3,2,5702,0,0,1
Existing Customer,41,M,4,30,3,3,4,14480,0,0,0
Existing Customer,51,M,3,41,5,3,4,6182,0.183,0,0
Existing Customer,52,M,2,38,4,2,2,11250,0.126,0,0
Existing Customer,61,M,2,48,5,2,3,26218,0,0,0
Existing Customer,49,M,3,36,6,1,5,33193,0.038,0,0
Existing Customer,36,F,3,23,6,3,4,714,0.745,0,1
Existing Customer,35,M,1,25,5,4,4,4625,0.203,0,0
Existing Customer,63,F,0,53,5,3,2,993,0.563,0,1
Existing Customer,36,F,1,23,6,3,3,753,0.758,0,1
Existing Customer,33,F,4,22,5,1,2,784,0.608,0,1
Existing Customer,33,M,1,26,4,1,0,1438.3,0,0,0
Existing Customer,65,M,1,36,4,3,5,3762,0.157,0,0
Existing Customer,61,M,1,55,6,2,3,1916,0.413,0,0
Existing Customer,44,M,4,34,4,3,2,26856,0,0,0
Existing Customer,38,M,1,29,6,3,3,33081,0.042,0,0
Existing Customer,41,M,4,32,4,6,3,21756,0,0,0
Existing Customer,44,F,4,26,4,1,2,3175,0.328,0,1
Attrited Customer,41,M,5,32,2,3,4,31999,0.073,1,0
Existing Customer,45,F,2,41,6,2,2,5596,0,0,1
Existing Customer,37,M,0,27,5,2,3,15326,0,0,0
Existing Customer,51,M,1,38,3,1,4,10054,0.116,0,0
Existing Customer,65,M,0,54,3,1,5,953,0.64,0,0
Existing Customer,37,F,1,27,6,1,2,156,0.942,0,1
Existing Customer,54,M,4,36,3,4,2,5725,0.234,0,0
Existing Customer,46,M,4,33,5,1,3,15310,0.057,0,0
Existing Customer,41,M,2,34,3,3,1,16661,0.128,0,0
Existing Customer,49,M,2,37,5,1,3,1728,0.423,0,0
Existing Customer,51,M,2,40,3,2,4,829,0.748,0,0
Existing Customer,50,F,3,39,4,3,4,8754,0.217,0,1
Existing Customer,48,F,4,36,4,1,2,21416,0,0,1
Existing Customer,53,M,2,41,3,2,5,824,0.669,0,0
Existing Customer,54,M,2,38,3,3,5,12387,0.132,0,0
Existing Customer,46,F,4,35,6,3,2,16017,0.057,0,1
Existing Customer,47,F,4,38,4,1,4,5570,0.254,0,1
Existing Customer,52,F,4,36,6,1,2,2075,0.548,0,1
Existing Customer,43,F,4,32,6,3,4,4341,0,0,1
Existing Customer,41,M,4,36,6,2,2,34516,0,0,0
Existing Customer,34,M,3,23,4,3,0,27710,0,0,0
Existing Customer,33,F,1,17,4,3,2,11848,0.118,0,1
Existing Customer,49,M,1,36,6,3,4,1146,0.567,0,0
Existing Customer,44,M,3,35,4,1,5,12593,0.102,0,0
Existing Customer,36,M,1,28,4,1,3,33742,0.022,0,0
Existing Customer,37,M,3,31,4,2,4,4693,0.177,0,0
Existing Customer,46,M,3,34,5,2,4,16284,0,0,0
Existing Customer,65,M,0,56,4,2,2,1153,0.643,0,0
Existing Customer,52,M,2,36,6,3,4,2025,0.278,0,0
Existing Customer,50,M,1,30,6,2,5,32506,0.058,0,0
Existing Customer,59,M,1,53,5,5,4,623,0.716,0,0
Existing Customer,37,F,3,29,3,2,2,6373,0.234,0,1
Attrited Customer,40,M,3,30,4,2,3,6391,0,1,0
Existing Customer,40,F,3,31,5,2,4,3791,0.2,0,1
Existing Customer,59,M,1,49,5,2,4,8338,0.162,0,0
Existing Customer,52,F,3,47,6,3,3,4717,0,0,1
